sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd UTM_X UTM_Y name
J.oxy 34 9 2.26 1.88 1.51 3.93 3.14 2.54 120 137 172 133 NA 607865 4251209 RS412
J.oxy 47 3 2.06 1.77 1.75 8.46 2.47 2.03 100 122 190 185 NA 607845 4251237 RS418
J.oxy 13 10 1.58 1.51 1.16 3.93 2.25 1.67 70 90 91 89 NA 607847 4251242 RS420
J.oxy 28 9 7.42 3.48 1.41 9.21 8.27 4.86 140 195 187 166 NA 607873 4251258 RS423
J.oxy 4 1 1.53 1.06 0.91 6.25 NA NA 113 134 111 72 NA 607865 4251269 RS425
J.oxy 18 2 2.21 1.47 1.37 6.61 4.06 NA 144 176 114 124 NA 607864 4251286 RS426
J.oxy 23 1 1.72 1.27 1.25 3.88 NA NA 58 83 143 108 96 607862 4251348 RS434
J.oxy 22 6 1.99 1.72 1.43 4.49 4.38 4.22 110 144 172 174 NA 609034 4250946 RS441
J.oxy 47 10 2.11 1.67 1.66 5.68 4.86 4.72 116 156 163 166 NA 609006 4250937 RS442
J.oxy 23 1 2.08 1.87 1.44 4.32 NA NA 154 171 152 153 NA 608980 4250935 RS448
J.oxy 5 4 1.34 1.28 0.69 2.61 2.03 1.72 84 101 61 66 NA 608962 4250917 RS450
J.oxy 11 3 1.94 1.83 1.71 4.14 3.22 2.54 166 205 207 165 NA 608891 4250939 RS459
M.sen 3 2 3.45 2.62 2.38 2.54 1.68 NA 165 211 208 203 NA 691560 4163018 NA
M.sen 21 28 2.32 2.06 1.8 2.8 2.67 2.34 110 140 220 375 128 690848 4162657 RS101
M.sen 13 11 3.71 3.14 2.88 2.54 1.96 1.67 130 195 198 211 81 690827 4162567 RS107
M.sen 12 5 1.12 1.09 0.95 0.78 0.76 0.71 50 57 92 98 33 690657 4162497 RS113
M.sen 4 6 1.52 1.05 0.9 2.98 2.77 2.55 60 83 74 31 90 690652 4162507 RS114
M.sen 8 10 1.81 1.38 1.23 3.02 2.59 1.89 72 103 149 83 34 690662 4162526 RS115
M.sen 7 4 1.39 1.11 0.82 1.26 0.86 0.82 80 107 127 149 32 690665 4162570 RS120
M.sen 19 9 3.2 1.98 1.59 2.28 2.2 1.56 120 149 123 101 76 690669 4162739 RS121
M.sen 7 9 2.63 2.41 2.08 2.89 2.67 1.83 100 123 127 163 92 690664 4162709 RS122
M.sen 9 9 1.35 1.33 0.73 1.76 1.13 0.98 40 104 94 52 71 690659 4162655 RS126
M.sen 10 8 1.39 1.25 1.17 1.97 1.52 1.17 65 92 101 148 38 687802 4161986 RS143
M.sen 11 7 2.71 2.41 2.18 1.93 1.61 1.28 80 110 172 193 56 687806 4162001 RS146
M.sen 6 6 2.92 1.87 1.78 1.71 1.31 1.27 84 98 97 89 NA 691561 4162972 RS17
M.sen 7 5 1.4 0.99 0.71 0.81 0.76 0.7 57 98 40 14 NA 691555 4162974 RS18
M.sen 11 7 2.25 1.99 1.78 3.34 2.87 2.35 90 120 158 174 71 687889 4162010 RS181
M.sen 17 11 3.78 3.66 1.82 3.14 2.98 2.76 88 140 458 187 61 687889 4162010 RS181
M.sen 5 4 1.66 1.28 1.27 1.81 1.28 0.45 100 120 153 150 8 687895 4161988 RS184
M.sen 7 3 4.21 2.91 2.24 1.84 1.75 1.14 122 168 216 204 60 690482 4163170 RS289
M.sen 12 5 4.64 3.77 2.98 2.37 2.25 2.05 170 210 272 264 130 690452 4163160 RS292
M.sen 12 8 2.35 1.87 1.65 2.34 1.88 1.25 104 125 166 15 82 690414 4163161 RS295
M.sen 12 12 2.94 2.15 1.9 1.59 1.52 1.44 114 162 113 235 86 690414 4163165 RS297
M.sen 12 7 3.44 2.56 2.23 1.73 1.35 1.22 115 150 206 204 34 690413 4163147 RS298
M.sen 17 15 3.43 3.18 2.18 3.79 3.45 2.54 170 260 306 380 67 690377 4163171 RS303
M.sen 7 8 3.28 2.81 2.45 1.67 1.63 1.24 110 140 174 213 80 690368 4163171 RS304
M.sen 11 4 0.93 0.83 0.44 0.68 0.56 0.54 60 81 106 77 14 690368 4163171 RS304
M.sen 7 2 1.14 0.94 0.93 0.71 0.56 NA 46 70 106 54 13 690356 4163172 RS305
M.sen 12 5 2.45 2.21 1.76 1.84 1.17 1.02 96 142 260 126 38 690357 4163168 RS306
M.sen 18 9 1.61 1.59 1.48 1.05 0.92 0.65 90 120 146 112 18 690339 4163167 RS307
M.sen 11 3 1.13 1.01 1 0.89 0.77 0.58 62 88 70 68 12 690332 4163176 RS310
M.sen 5 1 1.4 0.81 0.78 0.82 NA NA 50 68 93 68 4 690299 4163168 RS313
M.sen 5 2 2.35 2.23 1.58 1.46 1.04 NA 120 172 124 148 40 690259 4163152 RS318
M.sen 2 2 0.93 0.46 NA 1.19 0.98 NA 36 44 35 38 69 690847 4162674 RS95
M.sen 2 5 1.87 0.58 NA 1.61 1.19 0.85 89 118 62 84 70 690847 4162674 RS95
M.sen 2 1 0.66 0.62 NA 0.76 NA NA 39 50 76 14 31 690847 4162665 RS96
M.sen 13 12 1.74 1.24 0.99 1.84 1.61 1.27 46 81 161 92 76 690843 4162669 RS97
M.sen 5 4 0.96 0.91 0.68 1.19 0.55 0.43 20 42 43 15 58 690840 4162665 RS98
O.ole 7 5 2.8 2.3 1.7 3.16 2.27 2.08 176 194 278 257 NA 691643 4163040 NA
O.ole 8 4 3.7 2.5 2 4.72 3.05 2.33 190 213 226 237 NA 691641 4163035 NA
O.ole 9 7 3.8 3.2 2.6 4.13 2.81 2.52 180 196 297 334 NA 691639 4163037 NA
O.ole 11 6 4.5 2 1.8 6.1 4.95 3.89 185 207 239 260 NA 691641 4163041 NA
O.ole 16 8 4.1 3.4 2.2 5.23 4.13 3.25 130 157 241 305 NA 691644 4163037 NA
O.ole 13 11 4.17 3.89 2.77 4.47 4.25 3.6 145 210 244 156 148 690877 4162586 RS106
O.ole 17 21 3.23 2.96 2.51 3.59 3.18 2.86 190 218 350 448 174 690877 4162586 RS106
O.ole 37 26 3.97 3.38 3.04 4.91 4.6 3.99 180 223 390 330 160 690877 4162586 RS106
O.ole 21 6 3.23 2.38 2.24 3.12 2.88 2.35 175 198 201 294 125 691660 4163205 RS201
O.ole 12 5 6.74 6.34 3.81 5.32 2.53 1.54 166 228 260 411 NA 691735 4163205 RS21
O.ole 13 6 5.11 4.09 3.62 4.07 3.43 2.51 190 226 436 297 44 691648 4163303 RS212
O.ole 12 9 3.65 3.05 2.62 4.13 3.75 3.37 163 194 414 270 119 691068 4163621 RS250
O.ole 8 5 2.89 1.61 1.07 3.21 1.71 1.15 60 88 112 139 60 691078 4163633 RS251
O.ole 3 1 3.14 1.38 1.18 3.03 NA NA 95 123 141 187 109 691169 4163454 RS263
O.ole 6 1 3.61 1.96 1.78 3.28 NA NA 155 167 195 0 NA 691169 4163454 RS263
O.ole 9 9 3.92 3.47 2.48 5.06 5.01 4.27 160 172 247 303 172 691165 4163621 RS280
O.ole 5 4 2.84 2.41 2.01 3.94 1.99 1.77 95 127 202 204 45 691135 4163621 RS283
O.ole 5 3 5.37 3.74 2.98 3.99 3.05 2.98 40 123 157 182 85 690521 4163159 RS284
O.ole 17 9 7.31 6.29 4.82 7.12 6.65 5.72 200 280 498 487 110 620685 4231247 RS356
O.ole 19 5 8.35 5.98 5.67 8.11 6.54 5.35 350 430 530 450 67 621451 4231419 RS360
O.ole 24 9 6.59 6.31 4.86 7.03 6.34 5.8 260 283 517 444 274 691652 4163181 RS37
O.ole 12 5 2.52 1.98 1.81 5.08 2.26 1.57 170 255 162 210 160 608898 4250943 RS458
O.ole 18 14 3.67 3.33 2.99 2.6 2.41 2.28 117 138 243 316 114 691453 4164604 RS52
O.ole 18 14 6.07 4.61 4.48 5.36 3.73 2.98 144 172 395 420 138 691457 4164610 RS53
O.ole 13 12 4.14 3.02 2.7 6.25 5.86 3.26 203 294 350 410 216 691442 4164651 RS56
O.lan 22 4 1.38 1.37 1.04 3.96 2.68 1.94 132 147 124 113 154 687824 4161921 RS133
O.lan 12 7 2.13 1.93 1.71 3.81 3.71 2.74 100 140 154 100 138 687811 4161922 RS135
O.lan 14 4 1.98 1.68 1.66 6.29 4.89 2.27 108 125 142 110 168 687811 4161922 RS135
O.lan 8 7 1.93 1.21 1.16 1.69 1.22 1.05 90 111 91 92 82 687797 4161967 RS141
O.lan 8 8 3.07 2.8 2.09 5.25 4.54 3.98 120 137 158 184 197 687797 4161967 RS141
O.lan 11 6 2.75 2.61 2.34 4.53 4.36 3.61 132 159 167 158 179 687805 4161979 RS142
O.lan 13 4 1.38 1.35 1.04 4.07 3.92 2.35 76 86 105 77 168 687805 4161979 RS142
O.lan 18 4 1.26 0.88 0.79 2.73 2.71 2.47 58 68 95 85 110 687802 4161986 RS143
O.lan 11 6 1.98 1.66 1.59 5.34 3.88 3.49 152 182 154 118 167 687809 4162019 RS147
O.lan 13 8 1.71 1.68 1.37 4.44 3.55 1.98 102 123 74 83 126 687809 4162019 RS147
O.lan 8 4 2.45 2.36 1.93 4.32 2.87 2.23 164 187 163 213 162 687812 4162023 RS148
O.lan 12 5 3.73 2.89 2.54 3.02 1.93 1.88 120 144 196 207 78 687815 4162112 RS149
O.lan 9 4 3.85 2.64 2.63 2.68 1.52 1.39 90 129 143 148 80 687812 4162105 RS150
O.lan 11 2 1.06 0.89 0.87 3.45 1.52 NA 64 74 61 58 124 687808 4162105 RS151
O.lan 6 7 2.21 1.58 1.57 5.56 5.22 2.77 88 130 174 148 173 687812 4162070 RS154
O.lan 14 6 2.93 2.74 2.27 5.86 3.72 2.91 130 156 285 266 165 687814 4162069 RS155
O.lan 5 4 2.66 2.65 2.55 2.1 2.07 1.81 88 120 127 206 70 687812 4162061 RS157
O.lan 9 3 3.34 2.25 2.09 2.49 2.36 2.29 130 167 173 207 114 687806 4162053 RS159
O.lan 13 10 2.04 1.94 1.76 2.99 2.11 2.05 120 153 214 180 123 687806 4162053 RS159
O.lan 11 4 3.27 2.24 2.13 3.65 3.62 2.41 125 173 198 180 114 687899 4162118 RS160
O.lan 7 3 1.79 1.68 1.57 1.2 0.81 0.79 84 108 170 142 11 687906 4162115 RS161
O.lan 12 3 3.33 2.65 1.82 2.43 2.25 1.41 110 144 164 180 103 687906 4162115 RS161
O.lan 3 4 2.19 1.31 0.64 0.41 0.21 0.2 60 77 74 90 32 687892 4162091 RS164
O.lan 7 5 3.02 2.55 1.84 1.88 1.46 1.29 97 128 116 120 106 687900 4162089 RS165
O.lan 12 3 2.47 2.15 1.76 5.23 3.47 2.63 90 147 240 242 126 687890 4162073 RS168
O.lan 5 4 1.47 1.45 1.06 0.78 0.55 0.45 44 65 67 66 16 687903 4162060 RS170
O.lan 18 7 2.98 2.46 2.21 3.27 2.29 1.18 110 145 205 147 70 687903 4162060 RS170
