sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd UTM_X UTM_Y name
R.lyc 6 2 1.43 1.11 1.02 0.93 0.77 NA 111 129 95 123 NA 691434 4164635 RS55
R.lyc 9 8 1.5 1.39 1.37 1.87 1.13 1.04 65 74 143 102 73 691435 4164693 RS59
R.lyc 8 5 1.26 1.11 1.06 1.2 1.04 0.99 58 63 112 144 55 691438 4164728 RS60
R.lyc 7 2 1.73 1.55 1.13 2.55 1.47 NA 82 95 137 133 84 691435 4164749 RS61
R.lyc 9 7 2.21 1.77 1.65 2.3 2.02 1.58 114 131 170 208 117 691346 4164780 RS62
R.lyc 6 4 2.51 1.31 1.23 2.44 1.86 1.69 96 103 148 135 122 691345 4164756 RS63
R.lyc 11 7 2.66 2.14 1.52 1.99 1.54 1.14 92 101 132 94 78 691336 4164723 RS65
R.lyc 16 7 1.72 1.71 1.71 2.69 2.55 1.97 133 143 196 220 121 691350 4164687 RS67
R.lyc 15 13 1.32 1.21 1.19 1.66 1.61 1.51 108 113 158 184 104 691352 4164671 RS68
R.lyc 10 8 1.73 1.41 1.33 1.91 1.35 1.16 66 74 127 124 77 691350 4164634 RS69
R.lyc 1 1 1.58 NA NA 0.76 NA NA 62.5 62.5 53 57 NA 691629 4162967 RS7
R.lyc 34 11 1.34 1.29 1.19 1.79 1.47 1.39 108 114 193 168 NA 691350 4164601 RS71
R.lyc 21 11 2.21 1.15 1.12 1.86 1.83 1.3 108 120 193 196 86 691468 4164159 RS75
R.lyc 6 4 1.62 1.55 1.52 1.57 1.41 1.35 113 124 260 210 78 691472 4164179 RS77
R.lyc 14 7 2.34 2.06 1.58 1.61 1.43 0.98 158 174 215 190 86 691476 4164206 RS79
R.lyc 5 4 1.84 1.22 1.01 1.23 1.09 1 48 59 134 108 21 691463 4164239 RS81
R.lyc 8 6 2.69 2.28 2.11 2.23 1.89 1.36 126 143 237 331 74 691469 4164263 RS82
R.lyc 9 8 1.17 1.12 1.06 2.09 1.74 1.47 113 121 192 226 68 691469 4164343 RS84
R.lyc 13 7 3.35 2.39 1.74 1.61 1.56 1.53 118 147 236 235 102 691474 4164366 RS85
R.lyc 20 5 2.62 2.11 1.81 2.5 2.16 1.56 80 87 197 150 55 690833 4162768 RS87
R.lyc 7 2 1.24 1.21 0.75 1.49 1.22 NA 60 80 122 88 39 690843 4162669 RS97
T.art 2 1 1.71 0.62 NA 0.77 NA NA 55 55 32 31 19 690839 4162600 RS102
T.art 3 1 2.34 0.5 0.67 2.79 NA NA 84 84 63 54 43 690839 4162600 RS102
T.art 4 1 0.63 0.49 0.39 0.72 NA NA 28 28 24 17 12 690839 4162600 RS102
T.art 4 3 1.56 1.03 0.93 1.03 0.65 0.56 52 52 50 44 9 690839 4162600 RS102
T.art 4 5 8.23 6.47 6.41 8.06 7.11 6.19 228 228 315 250 244 690839 4162600 RS102
T.art 7 5 5.23 4 3.99 10.11 3.21 3.19 143 143 137 200 143 690662 4162541 RS117
T.art 12 6 1.5 0.97 0.91 2.55 1.78 1.73 31 31 139 71 37 690655 4162549 RS118
T.art 4 1 7.66 7.5 4.15 5.37 NA NA 440 440 266 270 330 691733 4163192 RS128
T.art 6 2 7.99 7.23 6.81 5.15 1.46 NA 450 450 242 286 330 691741 4163192 RS129
T.art 4 1 9.46 7.61 6.59 6.54 NA NA 420 420 198 215 360 691729 4163177 RS130
T.art 3 1 0.68 0.56 0.55 0.59 NA NA 18 20 18 24 NA 691639 4162972 RS2
T.art 4 2 0.91 0.66 0.58 0.67 0.26 NA 18.75 23 23 18 NA 691639 4162972 RS2
T.art 6 2 7.35 5.76 5.49 5.53 3.08 NA 311 321 163 214 NA 691735 4163214 RS23
T.art 2 3 5.27 1.46 NA 1.98 1.75 1.48 198 198 115 111 148 691077 4163532 RS234
T.art 10 4 6.57 6.14 5.64 12.05 8.47 7.76 435 435 348 383 458 691084 4163539 RS235
T.art 5 5 4.88 4.61 3.21 8.57 8.53 5.66 198 198 176 193 247 691089 4163550 RS237
T.art 2 1 6.26 3.18 NA 5.32 NA NA 211 211 181 173 200 691087 4163550 RS238
T.art 3 2 2.42 2.21 1.41 2.41 1.11 NA 125 125 60 94 40 691085 4163554 RS239
T.art 4 3 3.23 2.79 1.86 2.33 2.04 1.04 172 172 84 96 104 691085 4163554 RS239
T.art 2 1 2.49 1.23 NA 1.14 NA NA 94 94 59 53 40 691078 4163570 RS242
T.art 7 1 4.12 4.11 3.93 8.19 NA NA 213 213 140 144 280 691080 4163574 RS243
T.art 6 5 8.14 7.79 7.56 14.5 9.92 8.54 370 370 428 437 520 691071 4163572 RS245
T.art 3 1 2.84 2.81 1.85 3.14 NA NA 140 140 99 96 93 691072 4163604 RS248
T.art 2 1 3.06 2.87 NA 2.85 NA NA 133 133 135 132 105 691072 4163606 RS249
T.art 2 1 3.14 1.76 NA 1.55 NA NA 92 92 103 74 36 691072 4163648 RS254
T.art 2 1 4 2.37 NA 2.23 NA NA 110 110 107 91 123 691072 4163648 RS254
T.art 4 5 8.26 4.81 3.49 8.2 7.39 5.46 350 350 307 224 310 691164 4163475 RS265
T.art 6 4 6.03 5.02 4.29 5.91 5.63 1.26 207 207 155 162 292 691161 4163480 RS266
T.art 5 6 9.07 7.61 5.65 9.2 8.58 8.17 430 430 336 335 430 691174 4163546 RS271
T.art 5 1 8.84 7.06 1.65 5.89 NA NA 307 307 156 232 165 691182 4163552 RS272
T.art 3 1 3.95 3.85 1.63 1.48 NA NA 146 146 142 213 14 691172 4163563 RS274
T.art 3 1 5.82 4.28 1.15 2.36 NA NA 215 215 114 137 130 691164 4163571 RS275
T.art 6 4 6.55 6.41 5.99 6.47 5.24 4.26 340 340 220 190 30 691165 4163584 RS276
T.art 4 2 2.18 1.84 1.26 0.68 0.63 NA 108 108 79 84 50 691162 4163585 RS277
T.art 2 1 6.62 5.71 NA 6.62 NA NA 186 186 223 185 163 691174 4163611 RS279
T.art 3 1 9.48 9.12 7.27 6.48 NA NA 296 296 142 173 280 690448 4163164 RS293
T.art 4 2 5.76 1.83 0.99 2.32 0.58 NA 142 142 94 111 48 690263 4163147 RS317
T.art 4 2 6.14 0.91 0.76 1.77 1.33 NA 182 182 107 92 36 690220 4163121 RS319
T.art 3 1 7.65 6.26 4.35 3.72 NA NA 310 310 198 164 168 690197 4163109 RS320
T.art 5 1 1.85 1 0.98 0.74 NA NA 64 78 47 39 NA 691639 4162978 RS5
T.art 7 6 7.3 7.28 5.66 9.16 6.87 6.35 360 360 140 150 400 691435 4164652 RS57
T.art 6 4 2.05 1.48 0.95 2.92 1.53 0.94 114 114 68 54 137 691428 4164659 RS58
T.art 8 7 13.76 9.87 9.68 10.27 7.65 5.61 430 430 170 180 450 691428 4164659 RS58
T.art 4 1 0.88 0.64 0.53 0.57 NA NA 61 61 54 22 25 691474 4164146 RS72
