sp lt dt diaml1 diaml2 diaml3 diamd1 diamd2 diamd3 hmean hmax dim1 dim2 hmd name
P.ang 7 0 1.61 1.22 0.75 NA NA NA 76 102 85 150 NA NQ66
P.ang 1 0 0.48 NA NA NA NA NA 58 58 43 44 NA NQ66
O.lan 5 0 2.56 1.87 1.44 NA NA NA 58 90 138 106 NA NQ67
P.ang 4 0 1.38 0.91 0.78 NA NA NA 72 77 73 50 NA NQ68
R.lyc 3 0 0.74 0.39 0.21 NA NA NA 14 18 22 19 NA NQ68
C.hum 4 0 NA NA NA NA NA NA 90 102 127 122 NA NQ69
O.lan 3 0 0.85 0.59 0.55 NA NA NA 50 61 46 46 NA NQ69
O.lan 7 0 1.95 1.46 0.97 NA NA NA 108 136 142 110 NA NQ70
O.lan 2 0 4.25 3.64 NA NA NA NA 140 167 161 143 NA NQ71
C.hum 6 0 NA NA NA NA NA NA 60 64 127 113 NA NQ72
R.lyc 2 0 3.58 3.39 NA NA NA NA 84 96 137 105 NA NQ73
O.lan 2 0 3.95 2.36 NA NA NA NA 124 152 102 128 NA NQ74
R.lyc 4 0 2.76 2.46 1.75 NA NA NA 120 128 120 140 NA NQ75
O.lan 2 0 0.97 0.93 NA NA NA NA 44 50 32 21 NA NQ76
O.lan 2 0 2.15 1.42 NA NA NA NA 104 134 62 63 NA NQ77
P.len 3 0 2.78 2.5 1.99 NA NA NA 70 84 142 143 NA NQ78
O.lan 5 0 5.76 5.34 3.55 NA NA NA 134 165 152 155 NA NQ79
O.lan 3 0 4.88 3.04 2.27 NA NA NA 110 142 168 157 NA NQ80
R.lyc 1 0 0.74 NA NA NA NA NA 60 60 38 22 NA NQ80
P.len 2 0 0.53 0.31 NA NA NA NA 14 23 18 13 NA NQ81
P.len 2 0 2.82 2.13 NA NA NA NA 38 50 102 87 NA NQ82
C.hum 8 0 NA NA NA NA NA NA 76 94 215 187 NA NQ83
O.lan 4 0 3.55 2.84 2.71 NA NA NA 113 127 142 148 NA NQ84
O.lan 3 0 8.84 6.35 5.46 NA NA NA 160 238 275 272 NA NQ85
O.lan 1 0 0.87 NA NA NA NA NA 45 45 68 38 NA NQ86
O.lan 1 0 1.56 NA NA NA NA NA 65 65 35 31 NA NQ86
R.lyc 3 0 4.5 3.73 2.16 NA NA NA 115 134 190 193 NA NQ87
P.len 3 0 0.32 0.26 0.15 NA NA NA 16 21 18 12 NA NQ87
C.hum 1 0 NA NA NA NA NA NA 44 44 42 51 NA NQ87
P.ang 5 0 1.58 1.49 0.82 NA NA NA 84 104 136 114 NA NQ87
R.lyc 4 0 1.28 0.64 0.43 NA NA NA 74 76 66 63 NA NQ88
M.sen 3 0 0.78 0.52 0.48 NA NA NA 54 61 53 46 NA NQ88
M.sen 11 0 1.12 0.94 0.87 NA NA NA 50 70 117 78 NA NQ88
R.lyc 2 0 4.01 1.29 1.2 NA NA NA 94 94 160 200 NA NQ88
R.lyc 3 0 3.87 2.63 1.98 NA NA NA 110 122 206 204 NA NQ88
P.ang 4 0 1.72 1.16 1.12 NA NA NA 80 95 115 80 NA NQ88
P.ang 6 0 2.01 1.36 0.93 NA NA NA 90 104 123 117 NA NQ88
R.lyc 1 0 3.77 NA NA NA NA NA 90 90 91 86 NA NQ89
R.lyc 2 0 2.02 1.58 NA NA NA NA 90 102 99 118 NA NQ89
P.ang 10 0 1.83 1.45 1.37 NA NA NA 92 110 154 131 NA NQ89
R.lyc 2 0 4.05 3.58 NA NA NA NA 90 96 156 167 NA NQ89
C.hum 2 0 NA NA NA NA NA NA 30 40 52 43 NA NQ89
M.sen 9 0 1.51 1.11 0.99 NA NA NA 64 80 97 90 NA NQ89
P.len 17 0 6.64 6.48 6.02 NA NA NA 110 130 590 562 NA NQ89
P.len 11 0 7.55 6.64 4.88 NA NA NA 120 156 418 486 NA NQ90
R.lyc 5 0 2.37 1.84 1.66 NA NA NA 92 98 133 88 NA NQ90
O.lan 6 0 1.64 1.06 0.78 NA NA NA 80 90 98 102 NA NQ90
P.len 2 0 0.85 0.37 NA NA NA NA 30 40 48 28 NA NQ90
O.lan 4 0 4.12 3.98 3.51 NA NA NA 124 160 192 152 NA NQ91
R.lyc 2 0 1.86 1.75 NA NA NA NA 70 78 82 60 NA NQ91
P.len 7 0 7.71 6.78 5.26 NA NA NA 150 176 388 402 NA NQ91
P.ang 8 0 2.82 2.63 2.04 NA NA NA 92 116 270 235 NA NQ92
P.len 4 0 4.61 3.87 2.79 NA NA NA 70 92 230 278 NA NQ92
P.len 2 0 3.22 1.41 NA NA NA NA 98 116 142 118 NA NQ93
P.len 6 0 1.97 1.84 1.81 NA NA NA 74 106 213 182 NA NQ93
O.lan 4 0 14.2 6.16 5.64 NA NA NA 160 255 340 405 NA NQ93
O.lan 4 0 8.21 8.12 6.53 NA NA NA 170 237 415 304 NA NQ93
P.len 6 0 5.38 5.02 4.76 NA NA NA 120 148 432 342 NA NQ94
R.lyc 3 0 2.34 1.97 1.33 NA NA NA 70 78 72 92 NA NQ94
R.lyc 1 0 3.56 NA NA NA NA NA 74 88 135 102 NA NQ94
P.ang 9 0 2.48 2.05 2.03 NA NA NA 83 100 252 228 NA NQ95
P.ang 9 0 2.35 1.71 1.57 NA NA NA 104 126 180 162 NA NQ95
R.lyc 1 0 3.11 NA NA NA NA NA 76 86 76 104 NA NQ95
M.sen 20 0 6.41 5.75 5.14 NA NA NA 250 300 400 510 NA NQ96
P.len 3 0 2.27 1.62 1.08 NA NA NA 54 66 104 98 NA NQ97
C.hum 18 0 NA NA NA NA NA NA 170 192 258 250 NA NQ98
M.sen 16 0 2.77 2.24 2.22 NA NA NA 70 98 236 194 NA NQ99
R.lyc 3 0 6.25 6.23 6.15 NA NA NA 180 215 298 294 NA NQ99
R.lyc 8 0 4.54 3.02 3.01 NA NA NA 168 204 290 267 NA NQ100
R.lyc 6 0 5.73 3.98 3.02 NA NA NA 170 210 225 270 NA NQ100
P.ang 20 0 1.74 1.68 1.51 NA NA NA 108 140 168 170 NA NQ101
P.ang 17 0 3.62 3.01 2.24 NA NA NA 160 185 315 258 NA NQ101
R.lyc 8 0 4.03 3.8 3.41 NA NA NA 130 164 210 244 NA NQ102
C.hum 8 0 NA NA NA NA NA NA 162 168 274 273 NA NQ102
R.lyc 6 0 4.08 3.34 3.26 NA NA NA 154 173 325 312 NA NQ103
C.hum 12 0 NA NA NA NA NA NA 116 125 242 204 NA NQ104
C.hum 19 0 NA NA NA NA NA NA 130 152 253 312 NA NQ104
C.hum 17 0 NA NA NA NA NA NA 132 155 385 370 NA NQ105
O.ole 9 0 8.48 5.51 4.01 NA NA NA 290 336 320 400 NA NQ106
T.art 1 0 2.54 NA NA NA NA NA 130 130 88 84 NA NQ106
T.art 1 0 3.01 NA NA NA NA NA 184 184 122 106 NA NQ106
T.art 2 0 6.91 5.68 NA NA NA NA 325 325 324 185 NA NQ107
T.art 1 0 1.45 NA NA NA NA NA 124 124 73 77 NA NQ107
T.art 1 0 3.34 NA NA NA NA NA 204 204 110 137 NA NQ107
T.art 1 0 4.38 NA NA NA NA NA 312 312 197 137 NA NQ108
T.art 1 0 2.13 NA NA NA NA NA 180 180 82 68 NA NQ108
O.ole 8 0 7.31 7.11 4.54 NA NA NA 400 560 474 480 NA NQ109
C.hum 12 0 NA NA NA NA NA NA 160 200 317 325 NA NQ109
T.art 3 0 0.82 0.78 0.43 NA NA NA 57 57 57 30 NA NQ109
T.art 1 0 5.24 NA NA NA NA NA 250 250 155 140 NA NQ110
T.art 1 0 4.47 NA NA NA NA NA 240 240 148 140 NA NQ110
T.art 1 0 8.07 NA NA NA NA NA 445 445 242 220 NA NQ110
T.art 2 0 0.43 0.29 NA NA NA NA 48 48 24 22 NA NQ111
O.ole 6 0 3.07 2.66 1.95 NA NA NA 250 290 263 225 NA NQ112
O.ole 5 0 2.71 2.47 1.82 NA NA NA 206 254 242 204 NA NQ112
O.ole 2 0 1.63 1.12 NA NA NA NA 145 214 138 137 NA NQ112
O.ole 7 0 2.19 1.42 1.41 NA NA NA 180 210 138 200 NA NQ112
T.art 1 0 2.97 NA NA NA NA NA 202 202 106 108 NA NQ112
T.art 1 0 4.27 NA NA NA NA NA 320 320 134 110 NA NQ112
O.ole 8 0 7.83 4.81 3.22 NA NA NA 370 460 370 320 NA NQ112
O.ole 6 0 5.48 5.21 5.14 NA NA NA 286 348 328 372 NA NQ112
T.art 10 0 19.5 18.7 18 NA NA NA 575 575 775 630 NA NQ113
T.art 2 0 1.87 1.17 NA NA NA NA 118 118 97 60 NA NQ114
T.art 5 0 0.76 0.57 0.37 NA NA NA 47 47 29 39 NA NQ114
T.art 4 0 1.08 0.51 0.44 NA NA NA 92 92 38 28 NA NQ114
T.art 1 0 1.59 NA NA NA NA NA 66 66 56 48 NA NQ114
T.art 1 0 4.33 NA NA NA NA NA 150 150 108 87 NA NQ114
T.art 1 0 0.42 NA NA NA NA NA 26 26 10 9 NA NQ114
T.art 1 0 1.61 NA NA NA NA NA 112 112 60 54 NA NQ114
T.art 2 0 0.26 0.19 NA NA NA NA 20 20 14 11 NA NQ114
T.art 3 0 0.69 0.51 0.35 NA NA NA 40 40 36 38 NA NQ114
T.art 3 0 0.52 0.48 0.41 NA NA NA 34 34 38 24 NA NQ114
T.art 1 0 0.26 NA NA NA NA NA 26 26 18 10 NA NQ114
T.art 3 0 5.71 1.22 0.74 NA NA NA 332 332 133 145 NA NQ114
T.art 2 0 4.42 1.31 NA NA NA NA 242 242 104 117 NA NQ115
T.art 2 0 2.53 1.97 NA NA NA NA 154 154 95 106 NA NQ115
T.art 1 0 3.16 NA NA NA NA NA 218 218 102 104 NA NQ115
P.ang 15 0 1.78 1.71 1.36 NA NA NA 95 114 195 210 NA NQ116
P.len 9 0 7.01 5.64 5.43 NA NA NA 165 190 412 340 NA NQ116
P.len 9 0 5.95 5.56 4.81 NA NA NA 170 210 375 320 NA NQ116
C.hum 6 0 NA NA NA NA NA NA 120 168 235 257 NA NQ116
P.len 1 0 0.38 NA NA NA NA NA 25 25 18 21 NA NQ117
R.lyc 4 0 3.12 1.62 1.44 NA NA NA 85 98 173 119 NA NQ117
P.ang 13 0 1.38 1.22 0.99 NA NA NA 68 82 92 118 NA NQ117
P.len 7 0 5.48 4.57 4.26 NA NA NA 120 145 440 362 NA NQ117
P.ang 7 0 2.04 1.95 1.65 NA NA NA 115 150 202 196 NA NQ118
M.sen 15 0 2.84 2.32 1.98 NA NA NA 160 196 218 316 NA NQ119
P.len 2 0 0.81 0.52 NA NA NA NA 40 63 54 48 NA NQ119
O.ole 2 0 5.04 2.89 NA NA NA NA 192 283 202 295 NA NQ120
O.ole 3 0 3.67 1.91 1.62 NA NA NA 175 257 176 216 NA NQ121
O.ole 6 0 10.54 7.16 6.65 NA NA NA 400 494 340 365 NA NQ122
T.art 4 0 14.88 6.25 5.92 NA NA NA 554 554 352 405 NA NQ123
C.hum 13 0 NA NA NA NA NA NA 100 118 246 241 NA NQ123
T.art 2 0 3.55 1.14 NA NA NA NA 151 151 89 88 NA NQ124
T.art 1 0 4.67 NA NA NA NA NA 161 161 118 117 NA NQ124
T.art 1 0 5.27 NA NA NA NA NA 211 211 142 136 NA NQ124
T.art 1 0 5.29 NA NA NA NA NA 198 198 118 118 NA NQ124
T.art 1 0 2.65 NA NA NA NA NA 78 78 102 71 NA NQ124
P.len 1 0 1.16 NA NA NA NA NA 30 30 49 29 NA NQ124
T.art 1 0 4.98 NA NA NA NA NA 123 187 123 113 NA NQ125
T.art 1 0 10.21 NA NA NA NA NA 302 302 230 161 NA NQ125
T.art 4 0 7.59 6.57 2.11 NA NA NA 358 358 202 185 NA NQ125
T.art 1 0 10.13 NA NA NA NA NA 328 328 164 176 NA NQ125
T.art 1 0 2.64 NA NA NA NA NA 138 138 88 79 NA NQ126
T.art 2 0 4.82 3.96 NA NA NA NA 173 173 150 128 NA NQ126
T.art 2 0 2.87 1.27 NA NA NA NA 115 115 102 97 NA NQ126
T.art 2 0 1.86 0.57 NA NA NA NA 86 86 72 66 NA NQ126
T.art 2 3 1.29 0.51 NA NA NA NA 62 62 57 36 NA NQ126
T.art 1 0 10.61 NA NA NA NA NA 412 412 233 186 NA NQ127
T.art 2 0 19.8 13.2 NA NA NA NA 772 772 423 360 NA NQ127
T.art 4 0 2.91 1.65 1.02 NA NA NA 114 114 72 74 NA NQ128
T.art 1 0 4.09 NA NA NA NA NA 168 168 112 111 NA NQ128
